state_name,crop_name,apy_item_interval_start,temperature_recorded_date,state_temperature_max_val,state_temperature_min_val,state_rainfall_val,yield,FRL,Live Cap FRL,Level,Current Live Storage
Andhra Pradesh,potato,2012,26-04-2012,37.86,20.22,4.28,15.31692,337.152584,0.198465368,179.46125,0.337543702
Andhra Pradesh,potato,2012,27-04-2012,37.92,21.34,0.56,15.31692,337.152584,0.198465368,179.45125,0.337147291
Andhra Pradesh,potato,2012,28-04-2012,37.95,19.69,3.13,15.31692,337.152584,0.198465368,179.435,0.336829865
Andhra Pradesh,potato,2012,29-04-2012,39.44,21.51,0.12,15.31692,337.152584,0.198465368,179.425,0.336433454
Andhra Pradesh,potato,2012,30-04-2012,39.26,21.84,2.68,15.31692,337.152584,0.198465368,179.41125,0.335476226
Andhra Pradesh,potato,2012,01-05-2012,40.35,21.5,0.91,15.31692,337.152584,0.198465368,179.39,0.334719444
Andhra Pradesh,potato,2012,02-05-2012,41.26,21.69,0.95,15.31692,337.152584,0.198465368,179.37875,0.334269295
Andhra Pradesh,potato,2012,03-05-2012,41.71,21.76,0.01,15.31692,337.152584,0.198465368,179.36875,0.333821647
Andhra Pradesh,potato,2012,04-05-2012,42.08,21.43,0.43,15.31692,337.152584,0.198465368,179.34875,0.333202983
Andhra Pradesh,potato,2012,05-05-2012,40.58,20.82,0.13,15.31692,337.152584,0.198465368,179.33875,0.332756585
Andhra Pradesh,potato,2012,06-05-2012,40.96,20.06,0.85,15.31692,337.152584,0.198465368,179.32625,0.332313726
Andhra Pradesh,potato,2012,07-05-2012,40.36,20.86,3.6,15.31692,337.152584,0.198465368,179.31125,0.331366077
Andhra Pradesh,potato,2012,08-05-2012,41.08,21.43,0,15.31692,337.152584,0.198465368,179.29,0.330627203
Andhra Pradesh,potato,2012,09-05-2012,40.74,21.18,1.43,15.31692,337.152584,0.198465368,179.2675,0.329180805
Andhra Pradesh,potato,2012,10-05-2012,38.74,20.89,2.99,15.31692,337.152584,0.198465368,179.255,0.328483156
Andhra Pradesh,potato,2012,11-05-2012,39.45,20.84,2.06,15.31692,337.152584,0.198465368,179.23375,0.327619282
Andhra Pradesh,potato,2012,12-05-2012,39.78,21.71,0,15.31692,337.152584,0.198465368,179.22125,0.327034938
Andhra Pradesh,potato,2012,13-05-2012,38.32,19.91,3.66,15.31692,337.152584,0.198465368,179.20875,0.326445805
Andhra Pradesh,potato,2012,14-05-2012,40.93,21.43,0,15.31692,337.152584,0.198465368,179.1825,0.325179827
Andhra Pradesh,potato,2012,15-05-2012,41.7,21.86,0.15,15.31692,337.152584,0.198465368,179.2025,0.327035916
Andhra Pradesh,potato,2012,16-05-2012,41.97,21.08,2.8,15.31692,337.152584,0.198465368,179.19375,0.326885965
Andhra Pradesh,potato,2012,17-05-2012,42.67,22.35,0.49,15.31692,337.152584,0.198465368,179.17125,0.326122104
Andhra Pradesh,potato,2012,18-05-2012,43.81,22.34,0,15.31692,337.152584,0.198465368,179.1525,0.325272178
Andhra Pradesh,potato,2012,19-05-2012,43.98,23.14,0,15.31692,337.152584,0.198465368,179.13125,0.324168713
Andhra Pradesh,potato,2012,20-05-2012,42.46,23.29,1.33,15.31692,337.152584,0.198465368,179.1075,0.322952116
Andhra Pradesh,potato,2012,21-05-2012,42.54,22.78,0.06,15.31692,337.152584,0.198465368,179.0775,0.321213032
Andhra Pradesh,potato,2012,22-05-2012,42.64,22.93,0,15.31692,337.152584,0.198465368,179.04375,0.319345408
Andhra Pradesh,potato,2012,23-05-2012,43.05,22.49,0,15.31692,337.152584,0.198465368,179.015,0.317491943
Andhra Pradesh,potato,2012,24-05-2012,43.77,22.3,0.59,15.31692,337.152584,0.198465368,178.98125,0.314070581
Andhra Pradesh,potato,2012,25-05-2012,43.68,21.95,3.14,15.31692,337.152584,0.198465368,178.95125,0.31252443
Andhra Pradesh,potato,2012,26-05-2012,43.43,22.38,0.06,15.31692,337.152584,0.198465368,178.925,0.310966608
Andhra Pradesh,potato,2012,27-05-2012,42.62,22.92,0,15.31692,337.152584,0.198465368,178.89875,0.310088811
Andhra Pradesh,potato,2012,28-05-2012,42.15,22.44,0,15.31692,337.152584,0.198465368,178.85125,0.30815313
Andhra Pradesh,potato,2012,29-05-2012,43.37,22.33,0.1,15.31692,337.152584,0.198465368,178.8,0.303782165
Andhra Pradesh,potato,2012,30-05-2012,43.4,23.02,0,15.31692,337.152584,0.198465368,178.76375,0.301292029
Andhra Pradesh,potato,2012,31-05-2012,43.81,21.91,0,15.31692,337.152584,0.198465368,178.7275,0.299035444
Andhra Pradesh,potato,2012,01-06-2012,43.36,21.64,0,15.31692,337.152584,0.198465368,178.6875,0.296760333
Andhra Pradesh,potato,2012,02-06-2012,45.16,22.12,0,15.31692,337.152584,0.198465368,178.65875,0.294890828
Andhra Pradesh,potato,2012,03-06-2012,44.35,22.52,0,15.31692,337.152584,0.198465368,178.64125,0.29407131
Andhra Pradesh,potato,2012,04-06-2012,44.39,22.43,0.01,15.31692,337.152584,0.198465368,178.61875,0.292751793
